user,project
npritcha,invbingroup
barryrowlingson,fakeplace
maryee,charmdata
ggoerg,lambertw
bwhitcher,rigorous
afs,rigorous
zeripath,rigorous
ktabelow,rigorous
volkerschmid,rigorous
knguyen,mfr
chunhuawu,bayespanel
xavi,reefree
szeridan,vs2010
tcox,tides
thothorn,ipred
mariotomo,logging
iamit,logging
jamitzky,rsparql
tvede,dnatools
simonepadoan,extremalproc
halpo,osplinebasis
jhpitt,gcur
amonecke,sempls
leisch,sempls
kingsebi,sempls
wjzheng,qtlnetworkr
maryee,pdnimblegen
thofab,asur
thomas,asur
manuel,hgam
thothorn,hgam
multidim,hgam
simonepadoan,comprandfld
morenob,comprandfld
knaussde,tonalhierarchy
tanga,uarraydatasets
yangdongsheng,uarraydatasets
j_e_dalton,uarraydatasets
nmorris,uarraydatasets
cahn,uarraydatasets
radivot,uarraydatasets
song,uarraydatasets
sumathymai,uarraydatasets
jefferis,rann
kjetil1001,elemstatlearn
gblanchard,mutoss
kornel,mutoss
mscheer,mutoss
hackniklas,mutoss
dickhaus,mutoss
fkoniet,mutoss
johnros,mutoss
wiebke78,mutoss
richarddmorey,ballisticaccum
mhallquist,mplusautomation
pcrutcher,jacobi
kornel,gsrmtp
float,gsrmtp
delphinecharif,mareymap
jjvanderwal,sdmtools
pcd,functional
pcd,lisp
veccio,sasim
alkehl,rflptools
fflessa,rflptools
stamats,rflptools
zsunjian,seqcnvcbs
nrzhang,seqcnvcbs
mortizest,calmat
cepardot,manu
alexjzc,manu
dryver,acspkg
philippi,acspkg
thibault,geoxp
rsbivand,geoxp
nuest,tcap
kingsebi,orddata
mbojan,mapoland
valentin,synbreed
knaak,synbreed
aui,synbreed
kjschmid,synbreed
theresa,synbreed
bgc,surdes
ngmedina,surdes
ms-du,hergm
gero,luck
pkoch,scmsvn
mbaroni,sigil
schtepf,sigil
aarsta,repitools
dario,repitools
markrobinsonca,repitools
svn_rss,repitools
fwickel,pks
hellerj,pks
pasquale,pks
izmirlig,pwrgsd
anborg,recordlinkage
emsa,recordlinkage
sanfordweisberg,alr3
francoisdelobel,aurelhy
phgrosjean,aurelhy
longor,pi0
meganorr,pi0
hahsler,rprocessing
ch_sudheer1985,rprocessing
mark,pnl
christophe,kml3d
bdesgraupes,kml3d
alexkow,sparkline
domr,panel-htt
bada,panel-htt
bgoodri,migui
syclik,migui
yusung,migui
tengfei,chromatosimul
vahidpartovinia,baybi
danelliottster,alpaydinrnn
brianmhartman,rsln
tengfei,ncdfbrowser
gorodinskiy,rplug
romain,rplug
schielz,rptr
itchyshin,rptr
lml,dmt
opa,dmt
abhishek,dmt
jmoeys,soiltexture
shanggv,soiltexture
bender,rjungler
banoslo,rjungler
extemporaneousb,h5r
hcorrada,h5r
anthonvoyl,traminer
gritschard,traminer
matthias_studer,traminer
nmuller,traminer
skare,fest
jrawbits,travelr
bettinardi,travelr
vincentvanhees,pactivity
vpihur,boe
ccalenge,adehabitat
jfox,norm
hadley,plumbr
lawremi,plumbr
yihui,plumbr
tplate,abind
aruiz,r2drue
bjarki,rgadget
gudthor,rgadget
schmidb,graphcomparison
khadija,graphcomparison
unitsa_sa,parallabel
jmaisog,ptinpoly
cabrera,dnamr
jverzani,gwidgets
stsdan,bradleyterry2
davidf,bradleyterry2
tanga,svild
yangdongsheng,svild
weston,ensemblesvm
tengfei,chromatoplots
tengfei,commandr
dirienzojulio,gdgc
mariadelcromero,gdgc
shepheb1,senspstrat
charlesdupont,senspstrat
walkingsparrow,magnets
kuglerka,topklists
mschimek,topklists
mysickov,topklists
ebudinsk,topklists
hadley,plyr
braverock,deoptim
ardiad,deoptim
edd,deoptim
bodanker,deoptim
kmm,deoptim
kboudt,deoptim
kuglerka,madam
laurinmueller,madam
cimsoc,madam
ecsi,madam
mariotomo,delftfews
iamit,delftfews
kmiddleton,zar5
andresf,geofd
dreiss,medichi
dreiss,cmonkey
sdanzige,cmonkey
laurinmueller,quacn
kuglerka,quacn
mhermans,strat
ghthomas,motmot
schtepf,wordspace
scheike,timereg
conjugateprior,austin
leisch,e1071
dmeyer,e1071
khornik,e1071
stefan7th,e1071
picard,cghseg
edd,gcb
josh,gcb
eweber,gcb
aml05williams,limitob
andyliu52,limitob
dkane,limitob
joleary,limitob
knguyen,limitob
zhangqiaorjc,limitob
yl2,limitob
quality,qualitytools
kwstat,rseedcalc
dkane,backtest
knguyen,backtest
dkane,portfolio
knguyen,portfolio
dkane,lancetiraq
knguyen,lancetiraq
aml05williams,williams
andyliu52,williams
dkane,williams
azeileis,glogis
twindb,glogis
patrick,cohortpower
rune,ordinal
pbazeley,quantcombine
jayemerson,ks-test
taylor3,ks-test
lml,netpro
ouzo,netpro
tplate,timewarp
tplate,holidays
tplate,safelib
tplate,scriptests
tplate,tabbedplots
lwhansen,tabbedplots
tplate,trackobjs
nspeybroeck,decomp
pkonings,decomp
fhusson,factominer
jjosse,factominer
agro,factominer
sle,factominer
fhusson,factominergui
jjosse,factominergui
agro,factominergui
sle,factominergui
tplate,vsa
tplate,rsvgtipsdevice
mdsumner,trip
fhusson,sensominer
agro,sensominer
mcadoret,sensominer
sle,sensominer
fhusson,sensominergui
agro,sensominergui
mcadoret,sensominergui
sle,sensominergui
gonzalez,mixomics
jcoquery,mixomics
klecao,mixomics
pmonget,mixomics
sdejean,mixomics
taylor3,bprop
markowetz,crimage
henrik_86,crimage
yina,crimage
cjgb,rjython
ggrothendieck,rjython
benilton,htsanalyzer
cdat2,htsanalyzer
markowetz,htsanalyzer
jackrose,htsanalyzer
xinwang2uk,htsanalyzer
cjgb,rgsutil
masanao,apl
deleeuw,apl
hofner,gamboostlss
amayr,gamboostlss
schmidm,gamboostlss
dtofighi,rmediation
ronenk,idbg
nielsrhansen,multdiff
alexandersokol,multdiff
munkholt,multdiff
msill,s4vd
kingsebi,s4vd
ycroissant,pglm
valcu,actogram
fulminatio,actogram
bulla,actogram
johnros,tau
talgalili,tau
ebakshy,jjplot
slycoder,jjplot
kopackai,ffd
rpruim,fastr
arich,mosaic
dtkaplan,mosaic
nhorton,mosaic
rpruim,mosaic
sokole,casad
bpfaff,rneos
hahsler,arulesclassify
aradhya,arulesclassify
cjgb,rpython
shenxia,outbred
ronniene,outbred
shenxia,hgwas
mmaechler,curves-etc
hskaug,glmmadmb
arnima,glmmadmb
bbolker,glmmadmb
fhusson,missmda
jjosse,missmda
alanswanson,rstarspan
am_umt,rstarspan
jgrn307,rstarspan
rhijmans,rstarspan
mikewlcheung,metasem
nielsrhansen,ppstat
alexandersokol,ppstat
payseur,realized
aberson,realized
ezivot,realized
slre,metrology
domr,aemd
zsunjian,seqcnv
nrzhang,seqcnv
valcu,rangemapper
jdale,rangemapper
tengfei,eos
benbarnes,compdataviz
aracet,cfl
kornel,cfl
pablomo03,cfl
dutangc,gnetoolbox
alanswanson,climstats
am_umt,climstats
jgrn307,climstats
rhijmans,climstats
siiowl,lsaes
jmoeys,soilwater
mlt,soilwater
natasak,clamix
vlado,clamix
freezenik,bayesr
azeileis,bayesr
kingaa,mpifarm
mdowle,unknownr
jelmer,ipoptr
yina,gograph
c_brickner,tabular
nikko18,tabular
justintalbot,labeling
shenxia,hlikelihood
vaisone,hlikelihood
aarsta,imgur
enriquegc,aiba
denisnog,expdes
ericbferreira,expdes
portya,expdes
markowetz,igir
xinwang2uk,igir
lgatto,rpepxml
raheem,shrink
conor,qfa
alexyoung,qfa
darrenjw,qfa
jheydari,qfa
richarddmorey,massatchance
plummer,bugs-examples
thomas,dca
rsbivand,rgdal
tkeitt,rgdal
barryrowlingson,rgdal
edzer,rgdal
mdsumner,rgdal
dusadrian,qca
tomaschwutz,logitnorm
tomaschwutz,twsnowfall
tomaschwutz,twdemc
tomaschwutz,twkinresp
ingmarvisser,metatest
cbeleites,softclassval
harrys,texmex
janetheffernan,texmex
carolinekeef,texmex
wkw,texmex
kuhn,qsardata
dgerhard,predintervals
markowetz,nemo
xinwang2uk,nemo
mariotomo,rtest
azeileis,semtools
ecmerkle,semtools
arnima,hafroassmt
gunnaro,hafroassmt
sigurdur,hafroassmt
johnhforrest,clusterds
hahsler,clusterds
tsl,survey
thomas,cart
davidhbrown,cart
maier,dirichletreg
mirisola,deducerscaling
ifellows,deducerscaling
mlt,tmdl
mirisola,interate
lselzer,multcompview
spencerg,multcompview
nguyenvq,inference
nguyenvq,robustsurvival
mbojan,intergraph
ecuvelier,galois
klaus,gof
gokmen,c3net
jrgonzalez,gada
rpique,gada
shenxia,vgwas
joechip90,ecomodtools
lafaye,indeptests
abraham,rhrv
mrarthur,rhrv
leandroide,rhrv
mrpepa,rhrv
xoseantonvila,rhrv
dpalonso,rhrv
rkrug,simsurf
ozgurersin,stnn
road2stat,rdouban
ajankevics,mzmatchr
ttaverner,rgtk2extras
jbrownuf07,rgtk2extras
yuliya,rgtk2extras
nguyenvq,newtonraphson
nguyenvq,day2day
schwab,emov
mdelvaux,logopt
fle,logopt
jdegner,centipede
rpique,centipede
markheckmann,openrepgrid
ilvisne,speedr
slycoder,rtm
jelmer,nloptr
shailesh,c3net2
sheed03,multxpert
jrreynol,fmrisim
cdubois,mpmm
jamitzky,r2scheme
sigurdur,geoextras
arnima,geoextras
dxiao,rbigquery
bauersj,rbigquery
jbryer,ipeds
dnugent,ipeds
gacharya,ipeds
meik,klausur
rsbivand,maptools
barryrowlingson,maptools
edzer,maptools
mdsumner,maptools
sluque,maptools
virgil,maptools
rune,sensr
arnima,geo
bjarki,geo
gunnaro,geo
sigurdur,geo
richcalaway,foreach
blewis,foreach
weston,foreach
richcalaway,domc
weston,domc
malecki,apsrtable
richcalaway,dosmp
weston,dosmp
richcalaway,dosnow
weston,dosnow
harrelfe,rms
jgove,sampsurf
tdhock,learnprefs
alexgribov,dataexpl
pille84,dataexpl
drfuka,ecohydrology
zme2,ecohydrology
ashans,ecohydrology
bb386,ecohydrology
jaa78,ecohydrology
mtw5,ecohydrology
vaniarosa,ecohydrology
kingsebi,biclustgui
setiapramana,biclustgui
grafab,mtcreator
benlafleche,bmisc
cepardot,factoclass
dingpengpku,impactiv
markowetz,nea
abertram,renjin
jayemerson,niftir
zarrar,niftir
jbryer,qualtrics
dnugent,qualtrics
jayemerson,yaletoolkit
wagreen,yaletoolkit
tkl083,localgauss
dezadez,consensusmean
dezadez,multiasymptote
wulingyun,crf
nicke,gradientforest
sjsmith,gradientforest
leha,cureos
beissbarth,cureos
sheyde,cureos
seraphim,cureos
olia_np,genmoss
jalospinoso,snopgof
gametheory,gametheory
worldsbrain,fractalbrain
jp_rossi,rich
lbb220,shp2graph
holstius,rcaline
bcomeara,omearalab
bbanbury,omearalab
djhwueng,omearalab
halamillo,omearalab
davidorme,caper
schell,lmmlasso
tobias_verbeke,titanqc
glsnow,obssens
glsnow,blockrand
jthetzel,pba
amolinaro,partdsa
klostritto,partdsa
strawderman,partdsa
weston,partdsa
cstrieder,pasmae
mortiz,sge
djhwueng,bouhyd
djhwueng,mspcm
bclose,kza
bdai,oem
pgilbert,tsanalysis
cstrieder,sads
piklprado,sads
nbaskiot,treerank
zio_tom78,rfitsio
rphilip2004,mirt
hwborchers,subdisc
lbraglia,ifctools
lml,intcomp
olonigdiliginya,intcomp
mwola,icc
altermattw,richoutput
ifellows,richoutput
aleadalardo,ecovirtual
stasinopoullos,gamlss
tilemahos,gamlss
liangkun,mperm
darrenjw,dpeaqms
hjow,dpeaqms
vitalis,detsel
mkh,binomtools
rune,binomtools
thofab,agree
darrenjw,smfsb
edzer,rspatial
rsbivand,rspatial
barryrowlingson,rspatial
mdsumner,rspatial
virgil,rspatial
jsnel,joris
ralfseger,joris
dsamperi,finconductor
marieho,mvpartwrap
francois,phylothuria
briand,stacomir
awaddell,rnavgraph
rwoldford,rnavgraph
frossi,yasomi
tuxette,yasomi
kuhn,rulebasedmodels
weston,rulebasedmodels
biostatmatt,yarr
helmingstay,dossh
paul,gridsvg
sjp,gridsvg
vincent_dk,msgl
nielsrhansen,msgl
bosboer,aflp
pvs82,aflp
allignol,prodlim
tag,prodlim
tagteam,prodlim
psirusteam,psirusteam
nielsrhansen,rangecor
benderc,nem
markowetz,nem
frohlich,nem
beissbarth,nem
xinwang2uk,nem
jie,batman
wja,batman
thomas,timelapse
hwborchers,optimist
ingmarvisser,hmmr
maarten,hmmr
kuhn,fusebox
jmsigner,ccafs-analogues
joshhooker,ccafs-analogues
jramirez,ccafs-analogues
mfigrs,immunoassay
jbryer,multilevelpsa
jmurray1022,sbfac
bpfaff,evir
ben_graeler,spcopula
lawremi,rjavax
nikko18,rjavax
pcd,rjavax
cfuchsberger,gwatoolbox
cpattaro,gwatoolbox
dtaliun,gwatoolbox
cbeleites,arrayhelpers
jsl5,daewr
sartmann,mirtest
beissbarth,mirtest
seraphim,mirtest
mannau,sentiment
stefan7th,sentiment
oscarperpi,solar
murray,mpc
paul,griddebug
sartmann,gsmart
lselzer,plagrowanalysis
jianli,rweibo
jemeireles,treed
solymosi,sqlitemap
beckca,nbpmatching
kaneplusplus,background
bbolker,coefplot2
azeileis,glmx
kleiber,glmx
rkoenker,glmx
patrick,locallikelihood
cboettig,warningsignals
s_d_j_brown,spider
jmaluolar,spider
robcruickshank,spider
racoll,spider
stephane,spider
osorba,segpen
leha,survgenesinter
dtingley,mediation
kosukeimai,mediation
keele50,mediation
tyamamot,mediation
manuel,soccer
donkang75,metaqc
donkang75,metapca
tdhock,quadmod
gagolews,citan
muscrad,phyext
dcs,triangle
felix_s,apim
jesse,apim
masanao,mnbem
mariotomo,gnupg
niteloser,ape
rkoenker,rqpd
sbache,rqpd
kleiber,punitroots
claudiolupi,punitroots
richierocks,projectr
unitsa_sa,paralllogicreg
dsteuer,graviopt
peterkehler,graviopt
tfadiga,necronomicode
vminin,evolmod
statisfactions,playitbyr
tdhock,clusterpath
richcalaway,revoexts
masanao,revoexts
danielmedic,lcmix
alabarga,visualraster
mrzork,mrzork1
moraram,glmmgs
komland,tna-rna
zio_tom78,rhealpix
fbarriga,hdf5
jedick,chnosz
mcasl,amore
javieralfonso,amore
jbmere,amore
oscarperpi,pdcluster
josephk,catdyn
hoven,missforest
vahidpartovinia,mixvarselect
khalili,mixvarselect
andybunn,dplr
mvkorpel,dplr
dylan,plotkml
roudierp,plotkml
thengl,plotkml
richarddmorey,statetrace
pcd,debug
vgiagos,lnar
jcaude,svgmapping
rchampeimont,svgmapping
gsee,twsinstrument
cjgb,pxr
jorgeivanvelez,pxr
oscarperpi,pxr
viciana,pxr
friendly,genridge
singmann,mptinr
roli,vegsoup
gpiras,spse
roudierp,inspectr
fercolchero,bayessurv
lea_quinn,bayessurv
jonesor,bayessurv
jrdeneve,pim
tagteam,pim
othas,pim
pwasiewi,gprepel
benderc,ddepn
sheyde,ddepn
beissbarth,ddepn
alexrickett,cens
ifellows,cens
jedboy,sirad
thengl,gsif
gisxperts,gsif
roudierp,gsif
jperkins,rwoag
bcomeara,phrapl
enricoschumann,nmof
oscarperpi,rastervis
rhijmans,rastervis
nullabee,addendum
pushpak,eventstudies
barryrowlingson,dclusterm
paumose,dclusterm
virgil,dclusterm
rfrelat,ndvits
davidaarmstrong,icpsrmsda
dasonk,rgames
sund,muste
thofab,power
rhochreiter,pommes
gmbecker,fastknn
lawremi,fastknn
nikko18,fastknn
lianos,shikken
cflener,rivr
volkerschmid,bioimagetools
gyollin,sdafe
yneol,r2stats
kin233,ezsim
wokai,rbamtools
dcs,geometry
maarten,simdat
yneol,atelier
alabarga,rumfpack
jacobvanetten,rumfpack
rhochreiter,optmod
rhochreiter,evolutionr
pbreheny,cnvmalta
alabarga,cropcc
jacobvanetten,cropcc
jsimons,cans-works
onertipaday,rxkcd
wheelerb,asset
samsiddhi,asset
fercolchero,basta
lea_quinn,basta
jonesor,basta
hnenzen,demoniche
apdevries,ggcluster
jbeaulieu,ouwie
bcomeara,ouwie
angelabohn,snageo
manuel,osmar
schlusie,osmar
ecomets,saemix
masanao,exgraphs
sinnweja,kinship2
therneau,kinship2
brstone,tskarber
recknagel,ecoinf
walker,multitable
abaselga,betapart
davidorme,betapart
gustavo,cerrado
rlock,stat2data
edunov,rusquant
sanchez,andeanbear
milanbv,rcmdr-tms
stsdan,gslcca
qiang,vpa
petebaker,dryworkflow
ezivot,factoranalytics
gyollin,factoranalytics
chenyian,factoranalytics
bgodlove88,grimm
kaneplusplus,grimm
mattiuzzi5114,getmodis
aklisch,getmodis
aperera,meet
erola,meet
schiffner,locclass
stefanie,locclass
nrzhang,mscp
danielinteract,hypergsplines
stefan7th,euca2ools
chess,euca2ools
nrzhang,fdrcn
cnettel,cnf2freq
tag,riskscore
ezivot,mftsr
gyollin,mftsr
chenyian,mftsr
alsing,rmosek
wangdan412,ima
linwind,georglsm
edd,rvowpalwabbit
jmoeys,easydb
wdweeda,rtanalyze
jthiele,rnetlogo
jgrn307,starstools
ioannis,brglm
jasonlessels,widatagetter
dmbates,pkpd
ecomets,pkpd
mwola,nadiv
obssensitivity,obssensitivity
neildiamond,obssensitivity
jmurray1022,bfa
yangchen,foodweb
bcr,foodweb
flo_schneider,foodweb
karlines,foodweb
owenpetchey,foodweb
ioannis,profilemodel
mortiz,nsa
gpetris,dlm
fwild,lsa
azeileis,lsa
khornik,lsa
bergsmat,metrumrg
ccberry,soniclength
bcomeara,phyloorchard
dkane,pa1
yl2,pa1
jombart,epidemics
azeileis,betareg
gruen,betareg
ioannis,betareg
friendly,lahman
djmurphy,lahman
wulingyun,corbi
johnnyzhz,semdiag
zief0002,opc
karlx028,opc
drossell,mombf
proebuck,mombf
bcomeara,phylooptim
nmatasci,phylooptim
bbanbury,phylooptim
jbeaulieu,phylooptim
kamichels,phylooptim
roosen,xtable
dahl,xtable
ouzo,sorvi
lml,sorvi
kforner,gwas-bin-tests
pgilbert,automater
otlesz,dmrtools
cstephan,casper
drossell,casper
makro,casper
kotupanj,unitconversion
tag,bubble
tagteam,bubble
turpinandrew,visualfields
imarinf,visualfields
phartes,visualfields
richard_russell,visualfields
turpinandrew,opi
imarinf,opi
phartes,opi
richard_russell,opi
gallien,virtualcom
loic_chr,virtualcom
mcarboni,virtualcom
tami,virtualcom
thuiller,virtualcom
sens5900r,korean
gnustats,korean
chulkilee,korean
kimdongup,korean
muoe78,korean
richcalaway,doparallel
kollerma,glsrob
papritz,glsrob
schwierz,glsrob
stahel,glsrob
huanghw,dwd
phaaland,dwd
xiaosun,dwd
tomd,dwd
teramonagi,pairtrading
phaaland,calibfun
xiaosun,calibfun
jmaisog,gnmf
yiwen,dmd
federicorotolo,parfm
mmunda,parfm
robmyers,rca
mayrhofer,patchwork
sebastian_d,patchwork
janvb,modis
mattiuzzi5114,modis
thengl,modis
aklisch,modis
kattihenne,gpusim
b_k,rapophenia
rrod,rapophenia
jskoien,rtop
onertipaday,synergizer
chaij,proteinevoutk20
bdesgraupes,rcwb
sloiseau,rcwb
mclements,rstpm2
djhwueng,bmhyd
gragusa,mmest
thothorn,coin
azeileis,coin
khornik,coin
estriess,pyramidlattice
guojq,toyrpkg
berndbischl,mies
olafm,mies
pkoch,mies
feimingchen,lod
onertipaday,rweather
mpacala,statrand
dscott,hwriterplus
renaud,rcppoctave
chaussep,numericalecon
paul,gridgraph
jgove,dendrometry
maarten,smcs4
naimi,spdynamic
pgalpern,landscape
rhijmans,landscape
mathieu_r,landscape
stevenmosher,landscape
murdoch,tables
tobiasschoch,mqext
jelmer,sparsegrid
conjugateprior,events
vitalis,coalescer
b_k,tea
rrod,tea
jorismeys,smoothtest
tag,eventhistory
singmann,rm-plot
federicorotolo,simfms
kdbeuf,wavetiling
ppipeler,wavetiling
bmanola,brandpulscc
zwang,orsk
mathieu_gautier,rehh
vitalis,infer
gcalhoun,dbframe
davorc,sbsa
francisroy,ann
gogamza,konlp
ipmpack,ipmpack
virgil,rgift
eblondel,rsdmx
matthieu,rsdmx
johnros,rds2
mmarcinmichal,nbmb
shenxia,bigrr
ncrookston,yaimpute
rphilip2004,faoutlier
ritz,medrc
dgerhard,medrc
vdakos,earlywarnings
thothorn,party
azeileis,party
carolin,party
khornik,party
tcox,o22gp
mauricioz98,pcplex
rhijmans,geovec
jbeaulieu,corhmm
bcomeara,corhmm
ruedin,agrmt
ruedin,polrep
simone66b,bayessdeevol
smacdonald,bayessdeevol
lkohl,accmass
anthonvoyl,pst
allanhicks,nwfscassmt
itaylor,nwfscassmt
wotuzu17,candlesticks
clangkamp,creditrisk
pfv,shd
tobiasschoch,rht
thothorn,ctm
dagendresen,germplasm
jacobvanetten,germplasm
drizopoulos,jmr
markus,soilr
martinhecht,eat
anna,eat
cp-groove,eat
atout,eat
m_jansen,eat
nhaag,eat
weirichs,eat
thilo,eat
variani,chemosensors
bcomeara,rplant
bbanbury,rplant
jbeaulieu,rplant
mabouali,cgmimetic
wibeasley,nlsylinks
aranhax,forai
frog,frog
renuka,frog
jorismeys,disco
doebler,mada
setiapramana,neagui
azeileis,exams
gruen,exams
leisch,exams
freezenik,exams
khornik,kmndirs
feinerer,kmndirs
manuel,svgmaps
christoph,svgmaps
pgalpern,grainscape
zhangt,piet
ylmz,temproles
azeileis,changepoints
killick,changepoints
sgoodman,r-tika
marcosmolla,move
bart,move
gnustats,ihelp
qiang,qrnaseq
seninp,jmotif
renaud,pkgmaker
shay66,discretemtp
sje30,sjemea
ylmz,sjemea
masanao,bgraph
rpierce,repsych
lwrobel,crules
wmalara,crules
msikora,crules
korourke,visualinferenc
johnros,rosenblatt1
peder-axensten,lasr
jcoliver,olea
zsheffler,erp
nagode,rebmix
tarik,synchrony
erousseaux,dataset
ppipeler,melon
friendly,mvinfluence
jfox,mvinfluence
sanfordweisberg,mvinfluence
tarik,biwavelet
gsee,truefx
jgrn307,imad
namboy,imad
cmramirez,imad
cjgb,microdataes
riadh,hawkes
nmorris,fassoc
fishoor,fassoc
bpfaff,qrm
wibeasley,wats
jrodgers,wats
vahidpartovinia,lbiassurv
pjbergeron,lbiassurv
vbonhomme,momocs
federicorotolo,mlfm
ehrlinger,l2boost
tomowoozawa,oyster
soevog,guts
jimlemon,plotrix
atzmueller,subgroup
jgrn307,rasterhpc
rhijmans,rasterhpc
davidaarmstrong,damisc
dimitrisk,econgeo
trevorld,tldutils
janhavim,genenetbp
janhavim,genenetbp
agalecki,nlmeu
mgeraci,lqmm
davidhbrown,somtools
bcomeara,klaic
djhwueng,klaic
yiw,mvabund
dwarton,mvabund
karl,loa
niallfitzgerald,gasstorage
ebibbona,fpt
feonline,fpt
rsirovich,fpt
ben_graeler,uncertwebrtools
lucybastin,uncertwebrtools
ankita,uncertwebrtools
alice,segmentor3isbac
alice,ebs
srobin,ebs
bpfaff,frapo
jonathan,highfrequency
kboudt,highfrequency
payseur,highfrequency
braverock,highfrequency
ezivot,highfrequency
janelange,multistate
vminin,multistate
msill,c060
nbecker,c060
zucknick,c060
thielscher,c060
thomashielscher,c060
amsantac,geospt
remkoduursma,yplantqmc
mcieslak,yplantqmc
doebler,ruler
merysionek,ruler
yanchang,rdatamining
malikacharrad,rdatamining
nagashi,rdatamining
nanounanue,rdatamining
ketan,rdatamining
mydpy,rdatamining
nahidshahin,rdatamining
markleeds2,rdatamining
ronenm,rdatamining
kishorisrt,rdatamining
jyrikuusik,rdatamining
jallenbradley,rdatamining
erousseaux,rdatamining
e9t,rdatamining
vignesh,rdatamining
rsaporta,rdatamining
wenyan,rdatamining
didiergl,koo
wiencierz,lir
conor,senescer
leifeld,texreg
brandenberger,texreg
ksbakar,sptimer
anpefi,msap
fwild,lea
abelaropardo,lea
arc12,lea
gnustats,wanglee
wangl1,wanglee
nbecker,penalizedsvm
nmatzke,rexpokit
dralynch,badger
markdunning,badger
itaylor,r4ss
renaud,dorng
ppipeler,ucnr
alku,lmertest
rune,lmertest
perbb,lmertest
lucybastin,xmlschemareader
ankita,xmlschemareader
dcs,retistruct
milanbv,r-temis
rosyara,plantbreeding
ycroissant,ecdat
spencerg,ecdat
smukherji,hw-pval
cfriedem,rshare
naimi,rts
naimi,mct
zauber,cracker
bertcarnell,triangledist
dicknarby,triangledist
schoam4,simsem
prezez,ibmpm
klaashartmann,pastis
setiapramana,nea2
singmann,afe
huangracer,refund
fabians,refund
philreiss,refund
ccrainic,refund
lanhuo,refund
mwm79,refund
mgkundu,refund
swihart,refund
luoxiao,refund
jongellar,refund
ciarleaj,refund
alancan,fwi-fbp
xianli,fwi-fbp
mparisie,fwi-fbp
rosyara,familyassocqt
nightlordtw,metamisc
seantuck12,modistools
cpardy,mpmi
shenxia,mapfastr
robroy865,mapfastr
ycroissant,bigmlogit
gnustats,ipeglim
bickis,ipeglim
zhanxw,vcf2geno
lwaldron,hgnchelper
vygantas,pvar
pnovak,seqgrapher
chenyian,introcompfinr
ezivot,introcompfinr
bethanyyollin,introcompfinr
gyollin,introcompfinr
jonathan,rcademy
ctaragin,antitrust
evidal,dhclus
jayemerson,boostheaders
edd,boostheaders
kaneplusplus,boostheaders
jjallaire,boostheaders
romain,boostheaders
mgeraci,pawacc
jernest1,metabr
cdardis,peirce
spmstat,peirce
dwaggott,nsn
cdardis,logisticdx
canagnos,hmeasure
rcruz2000,frcc
benderc,bootfs
iacus,rrp
dsteuer,exlieberes
naimi,usdm
thamiakova,superbiclust
tlumley,sqlsurvey
spacesquid,probsimplex
gnustats,probsimplex
cfriedem,ibdata
nkolster,ibdata
sorenh,gmwr
benderc,rppanalyzer
sheyde,rppanalyzer
beissbarth,rppanalyzer
dkaschek,rppanalyzer
jsonntag,rppanalyzer
awachter,rppanalyzer
ukorf,rppanalyzer
ingmarvisser,lba
ihrke,lba
nrjb2,mas3321
charlescara,datastream2r
jgrn307,spatial-tools
igbaskin,cheminf
csgillespie,issb
tooyoung,multivarseg
hphilip456,nlsf-analysis
southandy,rworldmap
klash,phangorn
dwarton,speciesmix
csgillespie,r-ncl
sarahheaps,r-ncl
iacus,nopp
ephraimhanks,ctds
djft,bacprior
arau,htsfilter
gmarot,htsfilter
b-steve,admbsecr
rcbraga,qsarr
maregaslmb,qsarr
alvesvm,qsarr
carolhandrade,qsarr
qmnonic,r-message-queue
rossjesse,r-message-queue
beerda,paircompviz
vlebourl,stdiag
maryee,cets
maryee,cetsbrain
qianghu,fsim
sebgerdes,smisc
benkjanos,fitob
jinjianzhai,rcac
ahnsoyeon,noninferiority
ghostrider,aqr
tobiasschoch,rsae
dkosiorowski,depthproc
zzawadzki,depthproc
awegrzynkiewicz,depthproc
mateusz_bocian,depthproc
geo047,delmap
bbanbury,reol
bcomeara,reol
jabot,easyabc
dumoulin,easyabc
thierryfaure,easyabc
perpdgo,bglr
gdeloscampos,bglr
andrewtimm,mdsgui
erousseaux,abco
jimthor,jamesthorson
gshan2012,exactci
prea,hrtools
aghisla,hrtools
cyrus,ndl
vdorie,blme
hannes,monetr
tlumley,monetr
ajdamico,monetr
m1932r8,rgnuplot
rcbraga,qsarm
alvesvm,qsarm
carolhandrade,qsarm
rcbraga,yrandomization
maregaslmb,yrandomization
alvesvm,yrandomization
carolhandrade,yrandomization
koffler,lfstat
gregorlaaha3,lfstat
zehetj,lfstat
tobias,lfstat
siggyf,sealevel
tdhock,berr
tdhock,segannot
rigaill,segannot
friendly,wordpools
giorgioarcara,erpr
karlines,plot3d
petzoldt,plot3d
tomve,plot3d
dyedp39,totalreturnport
sloiseau,lexicalstat
bdesgraupes,lexicalstat
heimdallr,rfsnis
heidi,highriskzone
moniamahling,highriskzone
linne,highriskzone
edzer,spacetime
ben_graeler,spacetime
nstdnl,spacetime
rsbivand,spacetime
jinlong,spacetime
rogerday,due
sebkranz,restorepoint
mycsz16,bcdiag
adso,bcdiag
thamiakova,bcdiag
ewoud,bcdiag
kjell,bpkde
gshan2012,exactcidiff
andrie,ggdendro
jianli,dsinr
xccds,dsinr
